               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 114,            0.057688,            0.095188,            0.026563,             0.94243,             0.82699,             0.87639,             0.69909,            0.047032,            0.069144,            0.020368,           0.0094407,           0.0094407,           0.0094407
                 115,            0.057564,            0.095009,            0.026388,             0.94243,             0.82691,             0.87637,             0.69936,             0.04702,            0.069108,            0.020366,           0.0094357,           0.0094357,           0.0094357
                 116,            0.057499,            0.094327,            0.026461,             0.94181,             0.82725,             0.87637,             0.69959,            0.047011,            0.069087,            0.020363,           0.0094307,           0.0094307,           0.0094307
                 117,            0.057453,            0.095013,            0.026387,               0.942,             0.82712,             0.87639,             0.69973,            0.047001,            0.069062,             0.02036,           0.0094258,           0.0094258,           0.0094258
                 118,            0.057474,            0.095379,            0.026562,             0.94226,             0.82712,             0.87635,             0.69981,            0.046997,             0.06903,            0.020358,           0.0094208,           0.0094208,           0.0094208
                 119,            0.057886,             0.09714,            0.026698,              0.9416,             0.82741,             0.87638,             0.69983,            0.046993,            0.069002,            0.020354,           0.0094159,           0.0094159,           0.0094159
                 120,            0.057809,            0.096662,            0.026616,             0.94255,             0.82696,             0.87637,             0.69995,            0.046987,            0.068998,            0.020353,           0.0094109,           0.0094109,           0.0094109
                 121,             0.05764,            0.095351,            0.026582,             0.94189,             0.82731,             0.87642,             0.70006,            0.046981,            0.068989,             0.02035,            0.009406,            0.009406,            0.009406
                 122,            0.057747,            0.095942,             0.02661,             0.94186,             0.82732,             0.87648,             0.70024,            0.046978,            0.068975,            0.020348,            0.009401,            0.009401,            0.009401
                 123,            0.057461,            0.094586,            0.026462,             0.94209,             0.82718,             0.87645,              0.7005,            0.046972,            0.068957,            0.020346,           0.0093961,           0.0093961,           0.0093961
                 124,            0.057404,            0.094535,            0.026438,             0.94143,              0.8275,             0.87648,             0.70064,            0.046967,            0.068942,            0.020342,           0.0093912,           0.0093912,           0.0093912
                 125,             0.05767,            0.095611,            0.026525,             0.94158,             0.82741,              0.8765,             0.70086,            0.046962,            0.068936,            0.020339,           0.0093862,           0.0093862,           0.0093862
                 126,             0.05748,            0.095434,            0.026476,             0.94185,             0.82735,             0.87652,             0.70111,            0.046955,              0.0689,            0.020337,           0.0093813,           0.0093813,           0.0093813
                 127,            0.057471,            0.094098,            0.026482,             0.94196,             0.82722,             0.87656,             0.70134,            0.046946,            0.068875,            0.020334,           0.0093763,           0.0093763,           0.0093763
                 128,            0.057503,             0.09458,            0.026521,             0.94208,             0.82712,             0.87664,             0.70134,            0.046943,            0.068879,            0.020331,           0.0093714,           0.0093714,           0.0093714
                 129,            0.057614,            0.094856,            0.026449,             0.94144,             0.82754,             0.87671,             0.70161,            0.046934,            0.068861,            0.020329,           0.0093664,           0.0093664,           0.0093664
                 130,            0.057283,            0.094202,            0.026409,             0.94161,              0.8276,             0.87674,             0.70181,            0.046924,            0.068826,            0.020326,           0.0093615,           0.0093615,           0.0093615
                 131,            0.057442,            0.094726,            0.026508,             0.94171,             0.82753,             0.87678,             0.70197,            0.046914,            0.068816,            0.020322,           0.0093565,           0.0093565,           0.0093565
                 132,            0.057377,            0.094841,            0.026419,             0.94191,             0.82753,             0.87684,             0.70213,            0.046905,             0.06879,             0.02032,           0.0093516,           0.0093516,           0.0093516
                 133,            0.057429,            0.094489,            0.026438,             0.94215,             0.82737,              0.8769,             0.70234,            0.046897,             0.06877,            0.020316,           0.0093466,           0.0093466,           0.0093466
                 134,            0.057489,             0.09552,            0.026514,             0.94217,             0.82734,             0.87692,             0.70248,            0.046892,            0.068759,            0.020315,           0.0093416,           0.0093416,           0.0093416
                 135,             0.05752,            0.095408,            0.026486,             0.94139,             0.82753,             0.87693,             0.70255,            0.046885,            0.068735,            0.020312,           0.0093367,           0.0093367,           0.0093367
                 136,            0.057497,            0.095256,            0.026493,             0.94164,             0.82747,             0.87701,             0.70284,            0.046877,            0.068725,            0.020309,           0.0093317,           0.0093317,           0.0093317
                 137,            0.057269,            0.093908,            0.026342,             0.94199,             0.82731,             0.87703,             0.70298,             0.04687,            0.068695,            0.020306,           0.0093268,           0.0093268,           0.0093268
                 138,            0.057136,            0.093839,            0.026356,             0.94197,             0.82733,             0.87702,             0.70315,            0.046863,            0.068675,            0.020304,           0.0093219,           0.0093219,           0.0093219
                 139,            0.057234,            0.094145,            0.026309,              0.9421,              0.8273,             0.87707,             0.70338,            0.046856,            0.068644,            0.020302,           0.0093169,           0.0093169,           0.0093169
                 140,             0.05719,            0.093695,            0.026373,             0.94138,             0.82763,             0.87713,             0.70368,            0.046847,            0.068617,            0.020299,           0.0093119,           0.0093119,           0.0093119
                 141,            0.057214,            0.094205,            0.026357,             0.94141,             0.82761,             0.87719,             0.70375,             0.04684,            0.068593,            0.020296,            0.009307,            0.009307,            0.009307
                 142,            0.057173,            0.093818,            0.026219,              0.9415,             0.82752,             0.87725,              0.7039,            0.046832,             0.06856,            0.020293,            0.009302,            0.009302,            0.009302
                 143,            0.057163,            0.093417,            0.026366,             0.94154,              0.8275,             0.87722,             0.70404,            0.046823,            0.068534,             0.02029,           0.0092971,           0.0092971,           0.0092971
                 144,            0.057093,            0.092741,            0.026335,             0.94156,             0.82743,             0.87728,             0.70425,            0.046813,            0.068494,            0.020288,           0.0092922,           0.0092922,           0.0092922
                 145,            0.057061,            0.094023,            0.026287,              0.9411,             0.82768,              0.8773,             0.70443,            0.046806,            0.068479,            0.020286,           0.0092872,           0.0092872,           0.0092872
                 146,            0.057273,            0.093887,            0.026442,             0.94119,             0.82757,             0.87729,              0.7046,              0.0468,            0.068468,            0.020283,           0.0092823,           0.0092823,           0.0092823
                 147,            0.057367,            0.094575,            0.026435,              0.9413,             0.82748,             0.87735,             0.70477,            0.046795,            0.068437,             0.02028,           0.0092773,           0.0092773,           0.0092773
                 148,            0.057024,            0.093972,            0.026293,             0.94137,             0.82751,             0.87736,             0.70504,            0.046786,            0.068395,            0.020278,           0.0092724,           0.0092724,           0.0092724
                 149,            0.057096,            0.093588,            0.026245,             0.94083,             0.82775,             0.87737,             0.70528,            0.046776,            0.068368,            0.020274,           0.0092674,           0.0092674,           0.0092674
                 150,            0.057084,            0.093318,            0.026329,             0.94083,             0.82778,             0.87739,             0.70558,            0.046766,             0.06833,            0.020269,           0.0092625,           0.0092625,           0.0092625
                 151,            0.057035,            0.094157,            0.026272,             0.94101,             0.82785,             0.87746,             0.70582,            0.046757,            0.068297,            0.020266,           0.0092575,           0.0092575,           0.0092575
                 152,            0.057027,            0.093656,            0.026181,             0.94128,             0.82782,             0.87745,             0.70599,             0.04675,            0.068276,            0.020263,           0.0092526,           0.0092526,           0.0092526
